Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,2966.80,2992.35,2970.70,2963.93,2941.38,10000000,1
insert_performance,SEQUENTIAL,p50_latency_us,25681.00,25689.00,25673.00,25680.00,25712.00,10000000,1
insert_performance,SEQUENTIAL,p95_latency_us,55919.00,52954.00,56279.00,57824.00,56163.00,10000000,1
insert_performance,SEQUENTIAL,p99_latency_us,156867.00,163774.00,154909.00,158593.00,164872.00,10000000,1
insert_performance,SEQUENTIAL,page_splits,27418.00,27418.00,27418.00,27418.00,27418.00,10000000,1
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,SEQUENTIAL,avg_leaf_density,90.04,90.04,90.04,90.04,90.04,10000000,1
insert_performance,SEQUENTIAL,table_size_mb,11163.77,11163.80,11163.80,11163.82,11163.80,10000000,1
insert_performance,SEQUENTIAL,index_size_mb,214.23,214.23,214.23,214.23,214.23,10000000,1
insert_performance,SEQUENTIAL,read_iops,26.01,26.02,25.80,25.60,26.57,10000000,1
insert_performance,SEQUENTIAL,write_iops,108.25,108.33,108.66,108.89,107.82,10000000,1
insert_performance,SEQUENTIAL,read_throughput_mb,0.22,0.22,0.29,0.23,0.23,10000000,1
insert_performance,SEQUENTIAL,write_throughput_mb,16.03,16.69,16.52,16.47,16.33,10000000,1
insert_performance,UUIDV4,throughput,762.11,780.77,785.03,764.05,780.81,10000000,1
insert_performance,UUIDV4,p50_latency_us,121988.00,117503.00,114208.00,121353.00,114999.00,10000000,1
insert_performance,UUIDV4,p95_latency_us,308986.00,306902.00,312424.00,309186.00,311059.00,10000000,1
insert_performance,UUIDV4,p99_latency_us,386014.00,383094.00,393924.00,380435.00,387011.00,10000000,1
insert_performance,UUIDV4,page_splits,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV4,fragmentation,49.78,49.78,49.72,49.81,49.76,10000000,1
insert_performance,UUIDV4,avg_leaf_density,70.43,70.06,68.94,69.72,69.84,10000000,1
insert_performance,UUIDV4,table_size_mb,11163.83,11163.82,11163.83,11163.79,11163.83,10000000,1
insert_performance,UUIDV4,index_size_mb,384.69,386.67,393.01,388.58,387.96,10000000,1
insert_performance,UUIDV4,read_iops,7.42,8.21,7.74,7.75,7.44,10000000,1
insert_performance,UUIDV4,write_iops,356.66,361.83,363.97,358.04,360.05,10000000,1
insert_performance,UUIDV4,read_throughput_mb,0.07,0.08,0.08,0.07,0.09,10000000,1
insert_performance,UUIDV4,write_throughput_mb,6.89,7.08,7.17,6.74,7.09,10000000,1
insert_performance,UUIDV7,throughput,2936.92,2982.95,2998.14,3000.19,2968.74,10000000,1
insert_performance,UUIDV7,p50_latency_us,25757.00,25713.00,25715.00,25711.00,25729.00,10000000,1
insert_performance,UUIDV7,p95_latency_us,54304.00,54200.00,52592.00,52462.00,53520.00,10000000,1
insert_performance,UUIDV7,p99_latency_us,165712.00,162352.00,166892.00,160723.00,163191.00,10000000,1
insert_performance,UUIDV7,page_splits,38502.00,38502.00,38502.00,38502.00,38502.00,10000000,1
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,UUIDV7,avg_leaf_density,89.99,89.99,89.99,89.99,89.99,10000000,1
insert_performance,UUIDV7,table_size_mb,11163.77,11163.80,11163.82,11163.82,11163.82,10000000,1
insert_performance,UUIDV7,index_size_mb,300.82,300.82,300.82,300.82,300.82,10000000,1
insert_performance,UUIDV7,read_iops,28.22,26.96,24.75,23.46,28.37,10000000,1
insert_performance,UUIDV7,write_iops,108.09,108.64,110.49,108.98,107.46,10000000,1
insert_performance,UUIDV7,read_throughput_mb,0.24,0.23,0.22,0.21,0.24,10000000,1
insert_performance,UUIDV7,write_throughput_mb,16.13,16.75,16.94,16.97,16.68,10000000,1
insert_performance,ULID,throughput,3010.54,2996.89,3002.86,3066.35,3007.72,10000000,1
insert_performance,ULID,p50_latency_us,25685.00,25690.00,25681.00,25686.00,25684.00,10000000,1
insert_performance,ULID,p95_latency_us,53502.00,53965.00,53217.00,50645.00,52849.00,10000000,1
insert_performance,ULID,p99_latency_us,159061.00,162683.00,158954.00,158388.00,155640.00,10000000,1
insert_performance,ULID,page_splits,49571.00,49571.00,49571.00,49571.00,49571.00,10000000,1
insert_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID,avg_leaf_density,90.09,90.09,90.09,90.09,90.09,10000000,1
insert_performance,ULID,table_size_mb,11163.77,11163.80,11163.81,11163.78,11163.77,10000000,1
insert_performance,ULID,index_size_mb,387.30,387.30,387.30,387.30,387.30,10000000,1
insert_performance,ULID,read_iops,26.21,25.26,22.33,25.00,26.08,10000000,1
insert_performance,ULID,write_iops,109.33,109.72,109.50,113.37,109.27,10000000,1
insert_performance,ULID,read_throughput_mb,0.23,0.22,0.19,0.22,0.23,10000000,1
insert_performance,ULID,write_throughput_mb,16.54,16.77,16.85,17.01,16.57,10000000,1
insert_performance,ULID_MONOTONIC,throughput,3005.15,2987.22,3014.52,3000.63,3007.58,10000000,1
insert_performance,ULID_MONOTONIC,p50_latency_us,25708.00,25712.00,25697.00,25691.00,25691.00,10000000,1
insert_performance,ULID_MONOTONIC,p95_latency_us,52306.00,52335.00,52627.00,53049.00,52679.00,10000000,1
insert_performance,ULID_MONOTONIC,p99_latency_us,168726.00,163760.00,155925.00,165515.00,166644.00,10000000,1
insert_performance,ULID_MONOTONIC,page_splits,49571.00,49571.00,49571.00,49571.00,49571.00,10000000,1
insert_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
insert_performance,ULID_MONOTONIC,avg_leaf_density,90.09,90.09,90.09,90.09,90.09,10000000,1
insert_performance,ULID_MONOTONIC,table_size_mb,11163.81,11163.82,11163.79,11163.83,11163.82,10000000,1
insert_performance,ULID_MONOTONIC,index_size_mb,387.30,387.30,387.30,387.30,387.30,10000000,1
insert_performance,ULID_MONOTONIC,read_iops,24.68,28.57,25.51,24.80,23.51,10000000,1
insert_performance,ULID_MONOTONIC,write_iops,109.74,108.60,113.02,109.47,111.10,10000000,1
insert_performance,ULID_MONOTONIC,read_throughput_mb,0.21,0.24,0.22,0.21,0.21,10000000,1
insert_performance,ULID_MONOTONIC,write_throughput_mb,17.04,16.94,16.78,17.03,17.11,10000000,1
insert_performance,UUIDV1,throughput,2650.99,2431.00,2836.75,2720.80,2683.11,10000000,1
insert_performance,UUIDV1,p50_latency_us,25706.00,25808.00,25632.00,25668.00,25668.00,10000000,1
