Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,91.03,93.56,4.69,90.51,101.64,5.01,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,11910.00,11818.00,496.98,10961.00,12200.00,4.21,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,34450.00,34407.20,1085.61,32790.00,35774.00,3.16,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,52440.00,52484.60,1321.59,50685.00,54418.00,2.52,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.54,0.54,0.00,0.54,0.54,0.03,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.70,0.70,0.00,0.70,0.70,0.03,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,88.76,89.85,3.47,86.12,95.42,3.86,10000000,1
read_performance,SEQUENTIAL,write_iops,0.42,0.42,0.04,0.36,0.47,10.23,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.74,0.75,0.03,0.72,0.80,3.97,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.02,0.02,0.00,0.01,0.02,19.67,10000000,1
read_performance,UUIDV4,read_throughput,141.63,148.59,15.87,133.41,169.55,10.68,10000000,1
read_performance,UUIDV4,p50_latency_us,8942.00,8576.00,986.31,7141.00,9518.00,11.50,10000000,1
read_performance,UUIDV4,p95_latency_us,178969.00,174583.00,11632.16,154879.00,184557.00,6.66,10000000,1
read_performance,UUIDV4,p99_latency_us,301842.00,295529.20,18565.32,264326.00,309158.00,6.28,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.53,0.53,0.00,0.53,0.53,0.48,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.68,0.68,0.01,0.66,0.69,1.96,10000000,1
read_performance,UUIDV4,fragmentation,49.80,49.79,0.04,49.73,49.84,0.09,10000000,1
read_performance,UUIDV4,read_iops,91.10,94.45,8.71,88.41,109.50,9.22,10000000,1
read_performance,UUIDV4,write_iops,2.74,2.34,0.91,0.77,2.98,38.76,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.82,0.84,0.08,0.78,0.97,9.53,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.10,0.11,0.06,0.02,0.20,58.55,10000000,1
read_performance,UUIDV7,read_throughput,99.25,100.24,7.96,90.17,112.08,7.94,10000000,1
read_performance,UUIDV7,p50_latency_us,11465.00,11362.40,500.41,10737.00,11890.00,4.40,10000000,1
read_performance,UUIDV7,p95_latency_us,35643.00,35403.20,965.89,33875.00,36378.00,2.73,10000000,1
read_performance,UUIDV7,p99_latency_us,52857.00,53142.80,1122.95,51851.00,54668.00,2.11,10000000,1
read_performance,UUIDV7,cache_hit_ratio,0.54,0.54,0.00,0.53,0.54,0.02,10000000,1
read_performance,UUIDV7,index_hit_ratio,0.69,0.69,0.00,0.69,0.69,0.03,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,UUIDV7,read_iops,90.40,90.93,3.73,86.08,96.50,4.10,10000000,1
read_performance,UUIDV7,write_iops,0.45,0.44,0.02,0.42,0.46,3.66,10000000,1
read_performance,UUIDV7,read_throughput_mb,0.78,0.78,0.02,0.76,0.81,2.45,10000000,1
read_performance,UUIDV7,write_throughput_mb,0.02,0.02,0.00,0.01,0.02,12.26,10000000,1
read_performance,ULID,read_throughput,98.09,96.23,13.54,81.34,115.14,14.07,10000000,1
read_performance,ULID,p50_latency_us,11215.00,11520.60,758.67,10731.00,12461.00,6.59,10000000,1
read_performance,ULID,p95_latency_us,34072.00,35862.20,3843.10,32371.00,41501.00,10.72,10000000,1
read_performance,ULID,p99_latency_us,52390.00,53229.00,2313.66,51082.00,56098.00,4.35,10000000,1
read_performance,ULID,cache_hit_ratio,0.58,0.58,0.00,0.58,0.59,0.44,10000000,1
read_performance,ULID,index_hit_ratio,0.75,0.76,0.01,0.75,0.77,0.98,10000000,1
read_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,ULID,read_iops,89.34,93.18,5.72,88.84,101.30,6.14,10000000,1
read_performance,ULID,write_iops,1.73,1.71,0.20,1.49,1.98,11.96,10000000,1
read_performance,ULID,read_throughput_mb,0.78,0.80,0.05,0.75,0.85,5.98,10000000,1
read_performance,ULID,write_throughput_mb,0.02,0.02,0.00,0.02,0.03,14.47,10000000,1
read_performance,ULID_MONOTONIC,read_throughput,97.95,96.02,8.68,82.15,105.24,9.04,10000000,1
read_performance,ULID_MONOTONIC,p50_latency_us,11472.00,11645.20,1083.41,10766.00,13492.00,9.30,10000000,1
read_performance,ULID_MONOTONIC,p95_latency_us,37266.00,36346.40,2644.78,33123.00,39039.00,7.28,10000000,1
read_performance,ULID_MONOTONIC,p99_latency_us,54171.00,54735.00,1265.58,53405.00,56214.00,2.31,10000000,1
read_performance,ULID_MONOTONIC,cache_hit_ratio,0.58,0.58,0.00,0.58,0.58,0.02,10000000,1
