Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
read_performance,SEQUENTIAL,read_throughput,91.03,90.51,101.64,93.73,90.91,10000000,1
read_performance,SEQUENTIAL,p50_latency_us,11896.00,12200.00,10961.00,11910.00,12123.00,10000000,1
read_performance,SEQUENTIAL,p95_latency_us,35774.00,34833.00,32790.00,34189.00,34450.00,10000000,1
read_performance,SEQUENTIAL,p99_latency_us,54418.00,52396.00,50685.00,52440.00,52484.00,10000000,1
read_performance,SEQUENTIAL,cache_hit_ratio,0.54,0.54,0.54,0.54,0.54,10000000,1
read_performance,SEQUENTIAL,index_hit_ratio,0.70,0.70,0.70,0.70,0.70,10000000,1
read_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
read_performance,SEQUENTIAL,read_iops,90.39,88.55,95.42,86.12,88.76,10000000,1
read_performance,SEQUENTIAL,write_iops,0.36,0.47,0.46,0.42,0.41,10000000,1
read_performance,SEQUENTIAL,read_throughput_mb,0.75,0.74,0.80,0.72,0.74,10000000,1
read_performance,SEQUENTIAL,write_throughput_mb,0.02,0.02,0.02,0.02,0.01,10000000,1
read_performance,UUIDV4,read_throughput,161.19,133.41,137.17,141.63,169.55,10000000,1
read_performance,UUIDV4,p50_latency_us,8006.00,9273.00,9518.00,8942.00,7141.00,10000000,1
read_performance,UUIDV4,p95_latency_us,154879.00,174094.00,180416.00,178969.00,184557.00,10000000,1
read_performance,UUIDV4,p99_latency_us,264326.00,293543.00,309158.00,301842.00,308777.00,10000000,1
read_performance,UUIDV4,cache_hit_ratio,0.53,0.53,0.53,0.53,0.53,10000000,1
read_performance,UUIDV4,index_hit_ratio,0.69,0.66,0.68,0.68,0.67,10000000,1
read_performance,UUIDV4,fragmentation,49.73,49.80,49.76,49.84,49.81,10000000,1
read_performance,UUIDV4,read_iops,109.50,88.41,91.10,94.20,89.05,10000000,1
read_performance,UUIDV4,write_iops,2.36,2.74,2.85,2.98,0.77,10000000,1
read_performance,UUIDV4,read_throughput_mb,0.97,0.78,0.78,0.83,0.82,10000000,1
read_performance,UUIDV4,write_throughput_mb,0.02,0.20,0.09,0.13,0.10,10000000,1
read_performance,UUIDV7,read_throughput,112.08,99.25,97.58,90.17,102.12,10000000,1
read_performance,UUIDV7,p50_latency_us,10959.00,11465.00,11761.00,11890.00,10737.00,10000000,1
read_performance,UUIDV7,p95_latency_us,33875.00,35972.00,35643.00,36378.00,35148.00,10000000,1
read_performance,UUIDV7,p99_latency_us,52474.00,54668.00,52857.00,53864.00,51851.00,10000000,1
read_performance,UUIDV7,cache_hit_ratio,0.54,0.54,0.53,0.54,0.53,10000000,1
read_performance,UUIDV7,index_hit_ratio,0.69,0.69,0.69,0.69,0.69,10000000,1
read_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
