Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,37.29,37.44,1.23,36.11,39.41,3.29,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,19560.00,19666.00,1408.14,17807.00,21534.00,7.16,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,67307.00,66853.20,2247.25,63896.00,69501.00,3.36,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,311596.00,308914.80,7740.33,295626.00,315778.00,2.51,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,28.50,28.29,0.87,27.02,29.37,3.07,10000000,1
update_performance,SEQUENTIAL,write_iops,141.06,142.10,4.66,137.10,149.58,3.28,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.24,0.24,0.01,0.23,0.25,2.84,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,1.37,1.38,0.04,1.32,1.44,3.10,10000000,1
update_performance,UUIDV4,update_throughput,36.19,36.48,0.60,35.99,37.37,1.65,10000000,1
update_performance,UUIDV4,p50_latency_us,21445.00,21193.80,1044.17,20006.00,22229.00,4.93,10000000,1
update_performance,UUIDV4,p95_latency_us,221874.00,221948.00,4498.23,216199.00,227522.00,2.03,10000000,1
update_performance,UUIDV4,p99_latency_us,331258.00,332037.20,4279.18,327164.00,338656.00,1.29,10000000,1
update_performance,UUIDV4,fragmentation,49.78,49.79,0.03,49.77,49.83,0.06,10000000,1
update_performance,UUIDV4,read_iops,25.06,25.22,0.82,24.38,26.14,3.25,10000000,1
update_performance,UUIDV4,write_iops,140.06,141.15,2.42,139.24,144.84,1.71,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.22,0.22,0.01,0.21,0.23,3.80,10000000,1
update_performance,UUIDV4,write_throughput_mb,1.31,1.32,0.03,1.28,1.36,2.24,10000000,1
update_performance,UUIDV7,update_throughput,35.28,35.51,0.45,35.10,36.07,1.27,10000000,1
update_performance,UUIDV7,p50_latency_us,22552.00,22013.40,1039.70,20812.00,23058.00,4.72,10000000,1
update_performance,UUIDV7,p95_latency_us,67614.00,67779.20,2247.55,64669.00,70922.00,3.32,10000000,1
update_performance,UUIDV7,p99_latency_us,312948.00,313189.00,3434.69,309398.00,317317.00,1.10,10000000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,read_iops,26.74,27.02,1.13,25.95,28.86,4.18,10000000,1
update_performance,UUIDV7,write_iops,135.55,136.17,1.81,134.49,138.67,1.33,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.23,0.23,0.01,0.22,0.24,3.78,10000000,1
update_performance,UUIDV7,write_throughput_mb,1.32,1.33,0.02,1.31,1.37,1.88,10000000,1
update_performance,ULID,update_throughput,35.28,34.77,1.52,33.08,36.26,4.37,10000000,1
update_performance,ULID,p50_latency_us,22477.00,22416.60,1780.79,20085.00,24310.00,7.94,10000000,1
update_performance,ULID,p95_latency_us,69601.00,69728.40,1127.23,68040.00,70991.00,1.62,10000000,1
update_performance,ULID,p99_latency_us,316433.00,317558.60,4346.80,313593.00,324495.00,1.37,10000000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,read_iops,28.69,28.39,2.08,25.85,30.63,7.32,10000000,1
update_performance,ULID,write_iops,136.49,134.56,6.03,127.54,140.66,4.48,10000000,1
update_performance,ULID,read_throughput_mb,0.25,0.25,0.02,0.23,0.26,6.61,10000000,1
update_performance,ULID,write_throughput_mb,1.36,1.32,0.08,1.19,1.40,6.43,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,35.11,35.67,1.87,34.24,38.95,5.24,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,22612.00,21748.60,2190.62,18016.00,23588.00,10.07,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,70865.00,70985.20,1802.88,68764.00,73091.00,2.54,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,307028.00,305216.00,5924.89,296917.00,311954.00,1.94,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,read_iops,28.81,29.02,1.37,27.36,30.43,4.72,10000000,1
update_performance,ULID_MONOTONIC,write_iops,135.30,137.56,7.11,132.23,150.07,5.17,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.24,0.25,0.02,0.23,0.26,6.07,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,1.31,1.35,0.08,1.28,1.49,6.20,10000000,1
update_performance,UUIDV1,update_throughput,35.03,34.88,1.02,33.88,36.34,2.91,10000000,1
update_performance,UUIDV1,p50_latency_us,20340.00,20615.80,2144.45,17740.00,23045.00,10.40,10000000,1
update_performance,UUIDV1,p95_latency_us,99995.00,100076.60,1472.81,97897.00,102011.00,1.47,10000000,1
update_performance,UUIDV1,p99_latency_us,311747.00,310483.40,3907.48,304959.00,315067.00,1.26,10000000,1
update_performance,UUIDV1,fragmentation,46.43,46.41,0.21,46.08,46.61,0.45,10000000,1
update_performance,UUIDV1,read_iops,27.26,27.66,1.79,25.98,30.49,6.48,10000000,1
update_performance,UUIDV1,write_iops,135.70,134.98,4.05,130.96,140.67,3.00,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.24,0.24,0.02,0.22,0.26,7.08,10000000,1
update_performance,UUIDV1,write_throughput_mb,1.28,1.28,0.04,1.25,1.34,3.04,10000000,1
