Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
update_performance,SEQUENTIAL,update_throughput,37.56,37.29,36.82,39.41,36.11,10000000,1
update_performance,SEQUENTIAL,p50_latency_us,19018.00,19560.00,20411.00,17807.00,21534.00,10000000,1
update_performance,SEQUENTIAL,p95_latency_us,68235.00,67307.00,69501.00,65327.00,63896.00,10000000,1
update_performance,SEQUENTIAL,p99_latency_us,309850.00,311724.00,311596.00,295626.00,315778.00,10000000,1
update_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,SEQUENTIAL,read_iops,28.50,27.02,27.95,29.37,28.59,10000000,1
update_performance,SEQUENTIAL,write_iops,142.73,141.06,140.01,149.58,137.10,10000000,1
update_performance,SEQUENTIAL,read_throughput_mb,0.25,0.23,0.24,0.25,0.24,10000000,1
update_performance,SEQUENTIAL,write_throughput_mb,1.38,1.37,1.36,1.44,1.32,10000000,1
update_performance,UUIDV4,update_throughput,35.99,36.83,37.37,36.00,36.19,10000000,1
update_performance,UUIDV4,p50_latency_us,22096.00,20193.00,20006.00,21445.00,22229.00,10000000,1
update_performance,UUIDV4,p95_latency_us,221874.00,224969.00,219176.00,227522.00,216199.00,10000000,1
update_performance,UUIDV4,p99_latency_us,333073.00,331258.00,330035.00,338656.00,327164.00,10000000,1
update_performance,UUIDV4,fragmentation,49.77,49.82,49.78,49.77,49.83,10000000,1
update_performance,UUIDV4,read_iops,24.51,26.14,24.38,26.00,25.06,10000000,1
update_performance,UUIDV4,write_iops,139.27,142.32,144.84,139.24,140.06,10000000,1
update_performance,UUIDV4,read_throughput_mb,0.22,0.23,0.21,0.22,0.21,10000000,1
update_performance,UUIDV4,write_throughput_mb,1.31,1.31,1.36,1.28,1.32,10000000,1
update_performance,UUIDV7,update_throughput,35.17,35.91,36.07,35.10,35.28,10000000,1
update_performance,UUIDV7,p50_latency_us,22552.00,20978.00,20812.00,23058.00,22667.00,10000000,1
update_performance,UUIDV7,p95_latency_us,67289.00,70922.00,67614.00,64669.00,68402.00,10000000,1
update_performance,UUIDV7,p99_latency_us,309398.00,317317.00,315944.00,312948.00,310338.00,10000000,1
update_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,UUIDV7,read_iops,26.74,26.35,28.86,25.95,27.22,10000000,1
update_performance,UUIDV7,write_iops,134.74,137.42,138.67,134.49,135.55,10000000,1
update_performance,UUIDV7,read_throughput_mb,0.23,0.23,0.24,0.22,0.23,10000000,1
update_performance,UUIDV7,write_throughput_mb,1.32,1.31,1.37,1.33,1.32,10000000,1
update_performance,ULID,update_throughput,35.28,33.23,36.02,36.26,33.08,10000000,1
update_performance,ULID,p50_latency_us,22477.00,23945.00,21266.00,20085.00,24310.00,10000000,1
update_performance,ULID,p95_latency_us,68040.00,69601.00,69521.00,70991.00,70489.00,10000000,1
update_performance,ULID,p99_latency_us,316433.00,318730.00,313593.00,314542.00,324495.00,10000000,1
update_performance,ULID,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID,read_iops,25.85,30.09,26.70,28.69,30.63,10000000,1
update_performance,ULID,write_iops,136.49,128.83,139.27,140.66,127.54,10000000,1
update_performance,ULID,read_throughput_mb,0.23,0.26,0.23,0.25,0.26,10000000,1
update_performance,ULID,write_throughput_mb,1.36,1.29,1.37,1.40,1.19,10000000,1
update_performance,ULID_MONOTONIC,update_throughput,35.11,34.91,38.95,35.13,34.24,10000000,1
update_performance,ULID_MONOTONIC,p50_latency_us,22612.00,22813.00,18016.00,21714.00,23588.00,10000000,1
update_performance,ULID_MONOTONIC,p95_latency_us,73091.00,69763.00,68764.00,72443.00,70865.00,10000000,1
update_performance,ULID_MONOTONIC,p99_latency_us,301712.00,307028.00,296917.00,311954.00,308469.00,10000000,1
update_performance,ULID_MONOTONIC,fragmentation,0.00,0.00,0.00,0.00,0.00,10000000,1
update_performance,ULID_MONOTONIC,read_iops,30.40,27.36,30.43,28.81,28.12,10000000,1
update_performance,ULID_MONOTONIC,write_iops,135.30,134.58,150.07,135.63,132.23,10000000,1
update_performance,ULID_MONOTONIC,read_throughput_mb,0.26,0.23,0.26,0.24,0.24,10000000,1
update_performance,ULID_MONOTONIC,write_throughput_mb,1.35,1.30,1.49,1.31,1.28,10000000,1
update_performance,UUIDV1,update_throughput,33.95,35.21,35.03,36.34,33.88,10000000,1
update_performance,UUIDV1,p50_latency_us,22371.00,17740.00,20340.00,19583.00,23045.00,10000000,1
update_performance,UUIDV1,p95_latency_us,99995.00,97897.00,100489.00,102011.00,99991.00,10000000,1
update_performance,UUIDV1,p99_latency_us,308335.00,315067.00,312309.00,304959.00,311747.00,10000000,1
update_performance,UUIDV1,fragmentation,46.55,46.08,46.36,46.43,46.61,10000000,1
update_performance,UUIDV1,read_iops,28.15,26.39,25.98,27.26,30.49,10000000,1
update_performance,UUIDV1,write_iops,131.17,136.40,135.70,140.67,130.96,10000000,1
update_performance,UUIDV1,read_throughput_mb,0.24,0.24,0.22,0.23,0.26,10000000,1
update_performance,UUIDV1,write_throughput_mb,1.25,1.28,1.30,1.34,1.25,10000000,1
