Scenario,KeyType,Metric,Median,Mean,StdDev,Min,Max,CV_Percent,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,14048.50,14026.00,138.56,13841.49,14215.23,0.99,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,39033.00,38990.80,239.96,38606.00,39191.00,0.62,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,200066.00,201487.40,3281.31,197610.00,205654.00,1.63,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,249928.00,251026.20,5573.46,245597.00,258623.00,2.22,1000000,8
insert_performance,SEQUENTIAL,page_splits,2741.00,2741.00,0.00,2741.00,2741.00,0.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,90.01,90.01,0.00,90.01,90.01,0.00,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1116.41,1116.41,0.01,1116.39,1116.42,0.00,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,21.45,21.45,0.00,21.45,21.45,0.00,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,185.23,186.43,2.46,184.43,190.37,1.32,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,42.50,42.54,0.25,42.24,42.91,0.58,1000000,8
insert_performance,UUIDV4,throughput,13239.82,13201.84,379.17,12673.77,13657.72,2.87,1000000,8
insert_performance,UUIDV4,p50_latency_us,39334.00,39245.60,294.73,38734.00,39495.00,0.75,1000000,8
insert_performance,UUIDV4,p95_latency_us,197944.00,199901.80,3221.92,197345.00,203534.00,1.61,1000000,8
insert_performance,UUIDV4,p99_latency_us,242275.00,246508.60,10199.20,236723.00,260592.00,4.14,1000000,8
insert_performance,UUIDV4,page_splits,4834.00,4823.40,52.49,4751.00,4874.00,1.09,1000000,8
insert_performance,UUIDV4,fragmentation,49.86,49.81,0.12,49.62,49.91,0.24,1000000,8
insert_performance,UUIDV4,avg_leaf_density,71.71,71.87,0.77,71.12,72.94,1.08,1000000,8
insert_performance,UUIDV4,table_size_mb,1116.44,1116.44,0.02,1116.41,1116.47,0.00,1000000,8
insert_performance,UUIDV4,index_size_mb,37.80,37.71,0.41,37.15,38.11,1.09,1000000,8
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_iops,188.88,187.28,2.93,182.24,189.18,1.57,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,45.81,46.04,1.23,44.40,47.76,2.67,1000000,8
insert_performance,UUIDV7,throughput,12702.24,13142.30,775.34,12465.24,14055.16,5.90,1000000,8
insert_performance,UUIDV7,p50_latency_us,39317.00,39171.60,372.45,38568.00,39460.00,0.95,1000000,8
insert_performance,UUIDV7,p95_latency_us,203888.00,200669.20,5297.72,192840.00,205095.00,2.64,1000000,8
insert_performance,UUIDV7,p99_latency_us,254204.00,252182.40,6918.20,245242.00,261635.00,2.74,1000000,8
insert_performance,UUIDV7,page_splits,3849.00,3849.00,0.00,3849.00,3849.00,0.00,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,avg_leaf_density,89.98,89.98,0.00,89.98,89.98,0.00,1000000,8
insert_performance,UUIDV7,table_size_mb,1116.41,1116.41,0.02,1116.40,1116.44,0.00,1000000,8
insert_performance,UUIDV7,index_size_mb,30.10,30.10,0.00,30.10,30.10,0.00,1000000,8
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_iops,188.19,188.88,2.20,186.66,192.56,1.17,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,45.35,44.75,1.15,43.30,45.73,2.57,1000000,8
