Scenario,KeyType,Metric,Run1,Run2,Run3,Run4,Run5,RecordCount,Connections
insert_performance,SEQUENTIAL,throughput,14048.50,13841.49,14215.23,14067.45,13957.33,1000000,8
insert_performance,SEQUENTIAL,p50_latency_us,39033.00,39185.00,39191.00,38939.00,38606.00,1000000,8
insert_performance,SEQUENTIAL,p95_latency_us,200066.00,204055.00,197610.00,200052.00,205654.00,1000000,8
insert_performance,SEQUENTIAL,p99_latency_us,245597.00,246291.00,258623.00,254692.00,249928.00,1000000,8
insert_performance,SEQUENTIAL,page_splits,2741.00,2741.00,2741.00,2741.00,2741.00,1000000,8
insert_performance,SEQUENTIAL,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,avg_leaf_density,90.01,90.01,90.01,90.01,90.01,1000000,8
insert_performance,SEQUENTIAL,table_size_mb,1116.41,1116.42,1116.41,1116.41,1116.39,1000000,8
insert_performance,SEQUENTIAL,index_size_mb,21.45,21.45,21.45,21.45,21.45,1000000,8
insert_performance,SEQUENTIAL,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_iops,185.23,184.85,190.37,187.25,184.43,1000000,8
insert_performance,SEQUENTIAL,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,SEQUENTIAL,write_throughput_mb,42.50,42.59,42.91,42.44,42.24,1000000,8
insert_performance,UUIDV4,throughput,13011.15,12673.77,13239.82,13657.72,13426.76,1000000,8
insert_performance,UUIDV4,p50_latency_us,39315.00,38734.00,39334.00,39495.00,39350.00,1000000,8
insert_performance,UUIDV4,p95_latency_us,197944.00,203307.00,197379.00,203534.00,197345.00,1000000,8
insert_performance,UUIDV4,p99_latency_us,260592.00,253690.00,239263.00,236723.00,242275.00,1000000,8
insert_performance,UUIDV4,page_splits,4834.00,4790.00,4751.00,4874.00,4868.00,1000000,8
insert_performance,UUIDV4,fragmentation,49.91,49.90,49.86,49.76,49.62,1000000,8
insert_performance,UUIDV4,avg_leaf_density,71.71,72.35,72.94,71.12,71.21,1000000,8
insert_performance,UUIDV4,table_size_mb,1116.47,1116.45,1116.44,1116.44,1116.41,1000000,8
insert_performance,UUIDV4,index_size_mb,37.80,37.45,37.15,38.11,38.06,1000000,8
insert_performance,UUIDV4,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_iops,188.94,187.18,188.88,182.24,189.18,1000000,8
insert_performance,UUIDV4,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV4,write_throughput_mb,46.51,47.76,45.81,44.40,45.70,1000000,8
insert_performance,UUIDV7,throughput,12465.24,12702.24,14055.16,13914.65,12574.22,1000000,8
insert_performance,UUIDV7,p50_latency_us,39317.00,39446.00,38568.00,39067.00,39460.00,1000000,8
insert_performance,UUIDV7,p95_latency_us,205095.00,204002.00,192840.00,197521.00,203888.00,1000000,8
insert_performance,UUIDV7,p99_latency_us,261635.00,245242.00,254204.00,254363.00,245468.00,1000000,8
insert_performance,UUIDV7,page_splits,3849.00,3849.00,3849.00,3849.00,3849.00,1000000,8
insert_performance,UUIDV7,fragmentation,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,avg_leaf_density,89.98,89.98,89.98,89.98,89.98,1000000,8
insert_performance,UUIDV7,table_size_mb,1116.41,1116.41,1116.41,1116.40,1116.44,1000000,8
insert_performance,UUIDV7,index_size_mb,30.10,30.10,30.10,30.10,30.10,1000000,8
insert_performance,UUIDV7,read_iops,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_iops,188.80,186.66,192.56,188.18,188.19,1000000,8
insert_performance,UUIDV7,read_throughput_mb,0.00,0.00,0.00,0.00,0.00,1000000,8
insert_performance,UUIDV7,write_throughput_mb,45.35,45.64,43.71,43.30,45.73,1000000,8
insert_performance,ULID,throughput,13876.07,13634.09,13907.52,13985.73,13517.78,1000000,8
insert_performance,ULID,p50_latency_us,39297.00,39176.00,38741.00,39051.00,39119.00,1000000,8
insert_performance,ULID,p95_latency_us,198488.00,197752.00,196733.00,200997.00,205884.00,1000000,8
insert_performance,ULID,p99_latency_us,244924.00,245525.00,255325.00,249007.00,261628.00,1000000,8
insert_performance,ULID,page_splits,4944.00,4944.00,4944.00,4943.00,4943.00,1000000,8
insert_performance,ULID,fragmentation,0.04,0.00,0.00,0.02,0.00,1000000,8
insert_performance,ULID,avg_leaf_density,90.29,90.29,90.29,90.31,90.31,1000000,8
insert_performance,ULID,table_size_mb,1116.43,1116.41,1116.41,1116.41,1116.41,1000000,8
